id;name;in;in_id;out;out_id
1431;Tie 9211 Tornio;Suomi;1011;Ruotsi;1010
1432;Tie 98 Aavasaksa;Suomi;1011;Ruotsi;1010
1433;Tie 937 Pello;Suomi;1011;Ruotsi;1010
1435;Tie 954 Muonio;Suomi;1011;Ruotsi;1010
1436;Tie 959 Enontekiö, Karesuv;Suomi;1011;Ruotsi;1010
1447;Tie 21 Enontekiö, Kilpisjä;Muonio;498;Norja;1020
1446;Tie 93 Enontekiö, Kivilomp;Suomi;1011;Norja;1020
1445;Tie 92 Karigasniemi;Suomi;1011;Norja;1020
1444;Tie 4 Utsjoki;Suomi;1011;Norja;1020
1443;Tie 970 Utsjoki, Nuorgam;Suomi;1011;Norja;1020
1442;Tie 92 Inari, Näätämö;Suomi;1011;Norja;1020
1429;Tie 91 Inari, Rajajooseppi;Inari;148;Venäjä;1006
1430;Tie 82 Salla, Kelloselkä;Salla;732;Venäjä;1006
1252;Tie 866 Kuusamo;Kuusamo;305;Venäjä;1006
1325;Tie 89 Vartius;Kajaani;205;Venäjä;1006
724;Tie 9 Tohmajärvi, Niirala;Suomi;1011;Venäjä;1006
532;Tie 62 Imatra raja 2;Imatra;153;Venäjä;1006
306;Tie 13 Nuijamaa;Lappeenranta;405;Russia;1002
598;Tie 7 Virolahti, Vaalimaa, raskas, Vaalimaa;Hamina;75;Venäjä;1006
