id,name,in,out,country
97687V930620,Storskog riksgrense,Elvenes,Storskog,RUS
85233V930344,Aidejavri riksgrense,Gievdneguoika,Riksgrensen,FIN
70654V930322,Karasjok (Engholm's Husky),Gievdnegoikka,Karasjok,FIN
97351V930305,Roavvegieddi riksgrense,Ev6,Finland,FIN
99312V930442,Polmak riksgrense,Skiippagurra,Finland,FIN
68101V930654,Neiden tollsted riksgrense,Neiden,Riksgrensen,FIN
45313V1125788,Galgo v/værstasjon,Skibotn,Finland,FIN
01777V885181,BJØRNFJELL,Trældal x Ev6,Riksgrensen,SWE
77275V885276,GRADDIS,Hestbrinken,Riksgrensen,SWE
51812V1203972,Umbukta,Mo i Rana,Umbukta,SWE
35829V885266,KRUTFJELLET,Trofors,Riksgrensen,SWE
08581V885541,Skardmodalen,Hattfjelldalen,Sverige,SWE
98823V578220,Røyrvik,Gjersvika,Røyrvik,SWE
99923V578123,MURUMOEN,Sandvika,Sverige,SWE
93561V578187,Rengen,Nordli,Valsjöbyn,SWE
50089V578151,SANDVIKA,VERDALSØRA,DUVED,SWE
84237V578097,Teveldalen,Meråker,Storlien,SWE
11051V704737,Drevsjø east,Drevsjø,Riksgrensen,SWE
69140V704643,STØA,ØSTBY,SVERIGE,SWE
14158V705081,FLERMOBERGET,X/RV 25,SVERIGE,SWE
00737V704646,LUTNES,NYBERGSUND,SVERIGE,SWE
94864V704707,Linna riksgrense,Holtet,Sverige,SWE
94299V704696,Røgden øst,Røgden,Lintorpet / Sverige,SWE
57929V705247,ØYERMOEN,ØYERMOEN XF202,SVERIGE,SWE
76778V704564,MOROKULIEN,KONGSVINGER,SVERIGE,SWE
05732V971567,TROSTERUD,BEKKENGA,SVERIGE,SWE
21405V2607269,ØRJE,OSLO,SVERIGE,SWE
09269V971425,Bjørkebekk,Halden,Sverige,SWE
52209V971422,Prestebakke,Halden,Sverige,SWE
02535V971411,HOLTET,HALDEN,SVERIGE,SWE
57474V971423,Berby,Halden,Sverige,SWE
04904V971774,NYE SVINESUND BRU,Oslo,Sverige,SWE
35229V971507,SVINESUND,OSLO,SVERIGE,SWE
